No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
279	DFRVAL_PROCESS_YN	VARCHAR2	1	3	2	기계검수실시상태(2) | 기계검수실시여부(1)	기계검수실시상태	분리?	핵심명사 상이: 기계검수실시상태 / 기계검수실시여부
280	CHECK_END_DT	DATE		3	3	건1차검수종료일자(1) | 철1차검수종료일자(1) | 검사종료일시(1)	건1차검수종료일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
281	ORGTYPE	VARCHAR2	1	3	2	기록물유형(2) | 매체유형(시청각기록물에 한함 A=녹음테이프카세트,B=녹음테이프릴 등)(1)	기록물유형	통일?	형식단어 동일(유형)·핵심어 차이 — 확인
282	DOC_PRODSYS_GUBUN	VARCHAR2	3	3	2	문서제공시스템구분(2) | 철인수상태코드(1)	문서제공시스템구분	분리?	핵심명사 상이: 문서제공시스템구분 / 철인수상태코드
283	RES_REPORT_YN	VARCHAR2	1	3	2	인수결과통보상태구분(2) | 인수결과통보상태구분 (0: 미통보, 1: 통보중, 2: 통보완료, 9: 통보실패)(1)	인수결과통보상태구분	통일	표기변형/음차/영문누출 차이만
284	INSU_YMD	VARCHAR2	8	3	2	인수일자(2) | 인수 확정일(1)	인수일자	분리?	핵심명사 상이: 인수일자 / 인수확정일
285	RECV_STR_DT	DATE		3	2	규격검사시작일(2) | 규격검사 시작일(1)	규격검사시작일	통일	표기변형/음차/영문누출 차이만
286	RECV_END_DT	DATE		3	2	규격검사종료일(2) | 규격검사 종료일(1)	규격검사종료일	통일	표기변형/음차/영문누출 차이만
287	NEOVAL_STR_DT	DATE		3	2	전자서명유효성검사시작일(2) | 전자서명유효성검사 시작일(1)	전자서명유효성검사시작일	통일	표기변형/음차/영문누출 차이만
288	NEOVAL_END_DT	DATE		3	2	전자서명유효성검사종료일(2) | 전자서명유효성검사 종료일(1)	전자서명유효성검사종료일	통일	표기변형/음차/영문누출 차이만
289	ISOLAT_STR_DT	DATE		3	2	파일추출시작일(2) | 파일추출 시작일(1)	파일추출시작일	통일	표기변형/음차/영문누출 차이만
290	ISOLAT_END_DT	DATE		3	2	파일추출종료일(2) | 파일추출 종료일(1)	파일추출종료일	통일	표기변형/음차/영문누출 차이만
291	FSTCLEAN_STR_DT	DATE		3	2	1차바이러스검사시작일(2) | 1차바이러스검사 시작일(1)	1차바이러스검사시작일	통일	표기변형/음차/영문누출 차이만
292	FSTCLEAN_END_DT	DATE		3	2	1차바이러스검사종료일(2) | 1차바이러스검사 종료일(1)	1차바이러스검사종료일	통일	표기변형/음차/영문누출 차이만
293	SNDCLEAN_STR_DT	DATE		3	2	2차바이러스검사시작일(2) | 2차바이러스검사 시작일(1)	2차바이러스검사시작일	통일	표기변형/음차/영문누출 차이만
294	SNDCLEAN_END_DT	DATE		3	2	2차바이러스검사종료일(2) | 2차바이러스검사 종료일(1)	2차바이러스검사종료일	통일	표기변형/음차/영문누출 차이만
295	VIRUSCLEAN_STR_DT	DATE		3	2	바이러스치료시작일(2) | 바이러스검사 시작일(1)	바이러스치료시작일	통일?	형식단어 동일(작일)·핵심어 차이 — 확인
296	VIRUSCLEAN_END_DT	DATE		3	2	바이러스종료시작일(2) | 바이러스검사 종료일(1)	바이러스종료시작일	분리?	핵심명사 상이: 바이러스종료시작일 / 바이러스검사종료일
