No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
135	INSPEC_CONTS	VARCHAR2	250	6	2	조사내용(5) | 조사내용(INSPEC_CD='23' AND INSPEC_ITEM_CD='08' 일때 매체수록구분 코드값이 들어옴)(1)	조사내용	통일	표기변형/음차/영문누출 차이만
136	MIGR_MNG_NO	VARCHAR2	14	6	2	이전매체관리번호(4) | 매체이전관리번호(2)	이전매체관리번호	통일?	형식단어 동일(관리번호)·핵심어 차이 — 확인
137	RECLASS_DIV	VARCHAR2	2	6	4	재분류유형(3) | 재변환구분코드(1) | 재분류구분(02:보존기간재분류)(1) | 재분류구분(SV078)(1)	재분류유형	분리?	핵심명사 상이: 재분류유형 / 재변환구분코드 / 재분류구분
138	MUNSEONO	VARCHAR2	240	6	2	문서번호(해외기록물: 원문서번호, 보상대장: 지가증권번호)(4) | 문서번호(1) | [코멘트없음](1)	문서번호(해외기록물: 원문서번호, 보상대장: 지가증권번호)	통일	표기변형/음차/영문누출 차이만
139	JUMINNO2_BAK	VARCHAR2	11	6	3	주민번호2(3) | 주민번호2백업(1) | 생년월일2(1) | [코멘트없음](1)	주민번호2	분리?	핵심명사 상이: 주민번호 / 주민번호백업 / 생년월일
140	SCALE	VARCHAR2	20	6	2	축척(4) | 스케일(1) | [코멘트없음](1)	축척	분리?	핵심명사 상이: 축척 / 스케일
141	BND_STAT	VARCHAR2	1	6	3	기록물철상태(0:확인 2:의뢰 3:반려 4:인수 5:스케줄링 6:반출 7:반입)(3) | 매체류상태(1) | 기록물철상태(1) | [코멘트없음](1)	기록물철상태(0:확인 2:의뢰 3:반려 4:인수 5:스케줄링 6:반출 7:반입)	통일?	형식단어 동일(상태)·핵심어 차이 — 확인
142	OLDDOCNO	VARCHAR2	75	6	2	구기록물문서번호(4) | 구문서번호(1) | [코멘트없음](1)	구기록물문서번호	통일?	형식단어 동일(번호)·핵심어 차이 — 확인
143	ACQDATE	VARCHAR2	8	6	2	입수일자(4) | 수집일자(1) | [코멘트없음](1)	입수일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
144	FILESNO_ORI	VARCHAR2	100	6	3	구문서번호(도면번호), 원문서번호(3) | 구문서번호(1) | 원문서번호(1) | [코멘트없음](1)	구문서번호(도면번호), 원문서번호	통일	코멘트 포함관계(수식어 가감)
145	MFSNO	NUMBER	7	6	2	구M/F 번호(3) | 구MF번호(2) | [코멘트없음](1)	구M/F 번호	통일	표기변형/음차/영문누출 차이만
146	TITLE_COL	VARCHAR2	180	6	2	콜렉션명(4) | 해외기록물_콜렉션명(1) | [코멘트없음](1)	콜렉션명	통일	코멘트 포함관계(수식어 가감)
147	BOXWSIZE	NUMBER	5	6	2	상자가로(4) | 박스사이즈(무게)(1) | [코멘트없음](1)	상자가로	분리?	핵심명사 상이: 상자가로 / 박스사이즈
148	BOXLSIZE	NUMBER	5	6	2	상자세로(4) | 박스사이즈(길이)(1) | [코멘트없음](1)	상자세로	분리?	핵심명사 상이: 상자세로 / 박스사이즈
149	BOXHSIZE	NUMBER	5	6	2	상자높이(4) | 박스사이즈(높이)(1) | [코멘트없음](1)	상자높이	분리?	핵심명사 상이: 상자높이 / 박스사이즈
150	BOXWEIGHT	NUMBER	10,3	6	2	상자무게(4) | 박스무게(1) | [코멘트없음](1)	상자무게	통일?	형식단어 동일(무게)·핵심어 차이 — 확인
151	HANGJONG_TYPEGUBUN	VARCHAR2	3	6	2	행정박물 유형구분(4) | 행정박물유형(1) | [코멘트없음](1)	행정박물 유형구분	통일	코멘트 포함관계(수식어 가감)
152	CHOICE_DIV	VARCHAR2	2	6	2	민간기록물-선정구분(01:지정기록물,02:위탁기록물)(3) | 민간기록물_선정구분(2) | [코멘트없음](1)	민간기록물-선정구분(01:지정기록물,02:위탁기록물)	통일?	형식단어 동일(구분)·핵심어 차이 — 확인
153	SERVICE_BND_TTL	VARCHAR2	750	6	3	서비스용제목(기통검)(3) | 서비스철제목(1) | 서비스제목(1) | [코멘트없음](1)	서비스용제목(기통검)	통일?	형식단어 동일(제목)·핵심어 차이 — 확인
154	PRODKIKAN	VARCHAR2	2	6	2	제공기관(3) | 보존기간(생산시)(2) | [코멘트없음](1)	제공기관	분리?	핵심명사 상이: 제공기관 / 보존기간
155	LANGUAGE_INFO	VARCHAR2	300	6	2	기록언어명(4) | 언어정보(1) | [코멘트없음](1)	기록언어명	분리?	핵심명사 상이: 기록언어명 / 언어정보
156	MEDIA_INFO	VARCHAR2	300	6	2	추가보관매체정보(4) | 미디어정보(1) | [코멘트없음](1)	추가보관매체정보	통일?	형식단어 동일(정보)·핵심어 차이 — 확인
157	REQ_DT	DATE		6	2	요청일자(4) | 요청일(2)	요청일자	통일	코멘트 포함관계(수식어 가감)
158	ADD_FILE_NM	VARCHAR2	300	6	2	첨부파일명(4) | 원문FILE명(2)	첨부파일명	통일	표기변형/음차/영문누출 차이만
159	TRANSYEAR	VARCHAR2	100	6	4	이관년도(3) | 접수년도(1) | 번역년도(1) | 점검년도(1)	이관년도	통일?	형식단어 동일(년도)·핵심어 차이 — 확인
160	DHOUSECODE	VARCHAR2	100	6	3	기관코드(4) | 기관번호(1) | DHOUSE코드(1)	기관코드	분리?	핵심명사 상이: 기관코드 / 기관번호
161	DOCTYPE	VARCHAR2	10	6	2	기록물구분코드(RG143)(4) | 기록물구분코드(2)	기록물구분코드(RG143)	통일	표기변형/음차/영문누출 차이만
162	EXAM_YEAR	VARCHAR2	4	6	3	검토년도(3) | 공개검토년도(2) | EXAM년도(1)	검토년도	통일	코멘트 포함관계(수식어 가감)
163	FILE_NAME	VARCHAR2	100	5	4	이미지파일명(1) | 파일명(1) | NEO 첨부 파일명(1) | 파일이름(1) | [코멘트없음](1)	이미지파일명	분리?	핵심명사 상이: 이미지파일명 / 파일명 / NEO첨부파일명 / 파일이름
164	REMARK	VARCHAR2	1000	5	3	비고(3) | 의견(1) | 표지(1)	비고	분리?	핵심명사 상이: 비고 / 의견 / 표지
165	USE_YN	CHAR	1	5	2	사용여부(3) | 사용유무(1) | [코멘트없음](1)	사용여부	통일	표기변형/음차/영문누출 차이만
166	VIRUS_CHECK_YN	VARCHAR2	1	5	2	백신검사유무(2) | 에러유무(2) | [코멘트없음](1)	백신검사유무	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
167	WORK_DT	DATE		5	2	작업일시(4) | 근무일시(1)	작업일시	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
168	SECRET_ORGNM	VARCHAR2	120	5	2	기관명(폐쇄기관용)(4) | 비밀ORGNM(1)	기관명(폐쇄기관용)	통일	표기변형/음차/영문누출 차이만
169	SKL_DIV_STEP	CHAR	1	5	2	기능분류단계(3) | SKLDIV단계(1) | [코멘트없음](1)	기능분류단계	통일	표기변형/음차/영문누출 차이만
170	UNT_SBJ_SUMM	VARCHAR2	250	5	2	단위과제개요(3) | UNTSBJ합계(1) | [코멘트없음](1)	단위과제개요	통일	표기변형/음차/영문누출 차이만
171	STUTE_GRUND	VARCHAR2	250	5	2	법령근거(3) | STUTEGRUND(1) | [코멘트없음](1)	법령근거	통일	표기변형/음차/영문누출 차이만
172	UNI_ORG_SCT	VARCHAR2	2	5	3	통합기관코드구분(CM081 => 1, NULL:행정표준기관(CM_GOV_ORGAN), 2:구기록물기관것(CM_OLDGOV_ORGAN), 3:GCC미등록기관(CM_SELF_ORGAN), 4:총독부기관, 5:공공기관, 6:해외기관, 7:민간)(2) | 통합기관구분(CM081 => 1:행정표준기관(CM_GOV_ORGAN), 2:구기록물기관것(CM_OLDGOV_ORGAN), 3:GCC미등록기관(CM_SELF_ORGAN), 4:총독부기관, 5:공공기관, 6:해외기관, 7:민간)(1) | UNIORGSCT(1) | [코멘트없음](1)	통합기관코드구분(CM081 => 1, NULL:행정표준기관(CM_GOV_ORGAN), 2:구기록물기관것(CM_OLDGOV_ORGAN), 3:GCC미등록기관(CM_SELF_ORGAN), 4:총독부기관, 5:공공기관, 6:해외기관, 7:민간)	통일?	형식단어 동일(구분)·핵심어 차이 — 확인
173	TRM_ID	NUMBER		5	4	색인어용어 ID(시소러스)(2) | 기능어 ID(시소러스)(1) | 색인어ID(시소러스)(1) | 기능어용어 ID(시소러스)(1)	색인어용어 ID(시소러스)	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
174	CONF_USR_ID	VARCHAR2	20	5	2	확인자ID(4) | CONF유저아이디(1)	확인자ID	통일	표기변형/음차/영문누출 차이만
175	REASON	VARCHAR2	200	5	2	미반입사유(4) | 폐간사유(1)	미반입사유	통일?	형식단어 동일(사유)·핵심어 차이 — 확인
176	FILE_NM	VARCHAR2	300	5	2	파일명(3) | 파일명(첨부파일명)(2)	파일명	통일	표기변형/음차/영문누출 차이만
177	STATUS	VARCHAR2	2	5	2	작업구분(3) | 상태(2)	작업구분	분리?	핵심명사 상이: 작업구분 / 상태
178	FORMCD	VARCHAR2	2	5	2	형태구분코드(4) | 형태구분코드(RG044)(1)	형태구분코드	통일	표기변형/음차/영문누출 차이만
