구분	영문약어	단어명	스키마등장수	비고
사전only	AUD	오디오	0	스키마 미사용
사전only	AUDC	감사추적	0	스키마 미사용
사전only	AUDR	감사기록	0	스키마 미사용
사전only	AUDT	감사증적	0	스키마 미사용
사전only	AUDV	시청각	0	스키마 미사용
사전only	AUSR	인가된사용자	0	스키마 미사용
사전only	AUT	저자	0	스키마 미사용
사전only	AVRG	평균	0	스키마 미사용
사전only	AVTSMT	통지	0	스키마 미사용
사전only	BACNT	계좌	0	스키마 미사용
사전only	BADN	불량	0	스키마 미사용
사전only	BANK	은행	0	스키마 미사용
사전only	BBS	게시판	0	스키마 미사용
사전only	BCP	업무연속성계획	0	스키마 미사용
사전only	BCRN	배경	0	스키마 미사용
사전only	BDAR	건축면적	0	스키마 미사용
사전only	BDCVRT	건폐율	0	스키마 미사용
사전only	BDRG	건축물대장	0	스키마 미사용
사전only	BDST	건축물	0	스키마 미사용
사전only	BFE	실행전	0	스키마 미사용
사전only	BGNCST	착공	0	스키마 미사용
사전only	BGT	예산	0	스키마 미사용
사전only	BIA	업무영향분석	0	스키마 미사용
사전only	BID	입찰	0	스키마 미사용
사전only	BITD	비트심도	0	스키마 미사용
사전only	BIZ	사업	0	스키마 미사용
사전only	BK	책	0	스키마 미사용
사전only	BKQY	권수	0	스키마 미사용
사전only	BLBK	판본	0	스키마 미사용
사전only	BLCK	블록	0	스키마 미사용
사전only	BLDG	건물	0	스키마 미사용
사전only	BLDR	시공자	0	스키마 미사용
사전only	BLN	귀속	0	스키마 미사용
사전only	BLNC	잔액	0	스키마 미사용
사전only	BMNO	건물본번	0	스키마 미사용
사전only	BMS	업무관리시스템	0	스키마 미사용
사전only	BNO	건물번호	0	스키마 미사용
사전only	BOBK	책등	0	스키마 미사용
사전only	BOOK	도서	0	스키마 미사용
사전only	BPLC	사업장	0	스키마 미사용
사전only	BRMS	BRMS	0	스키마 미사용
사전only	BRNCH	지점	0	스키마 미사용
사전only	BRNO	사업자등록번호	0	스키마 미사용
사전only	BRNS	밝기	0	스키마 미사용
사전only	BROF	지사	0	스키마 미사용
사전only	BRTD	생일	0	스키마 미사용
사전only	BSNO	건물부번	0	스키마 미사용
사전only	BT	폭	0	스키마 미사용
사전only	BULK	다량	0	스키마 미사용
사전only	BURA	국	0	스키마 미사용
사전only	BYLT	외필지	0	스키마 미사용
사전only	BYNG	매수	0	스키마 미사용
사전only	BZENT	사업체	0	스키마 미사용
사전only	BZENTY	업체	0	스키마 미사용
사전only	BZMN	사업자	0	스키마 미사용
사전only	BZSTAT	업태	0	스키마 미사용
사전only	C	C클래스	0	스키마 미사용
사전only	CALL	호출	0	스키마 미사용
사전only	CAMS	중앙영구기록관리시스템	0	스키마 미사용
사전only	CARMDL	차종	0	스키마 미사용
사전only	CARR	경력	0	스키마 미사용
사전only	CATH	공저자	0	스키마 미사용
사전only	CAUS	원인	0	스키마 미사용
사전only	CCTV	폐쇄회로감시장치	0	스키마 미사용
사전only	CDIR	련방향	0	스키마 미사용
사전only	CDSC	CD	0	스키마 미사용
사전only	CELL	셀	0	스키마 미사용
사전only	CHAR	문자	0	스키마 미사용
사전only	CHBTN	동거	0	스키마 미사용
사전only	CHCE	채택	0	스키마 미사용
사전only	CHHS	변경이력	0	스키마 미사용
사전only	CHNL	중국어	0	스키마 미사용
사전only	CHOP	세절	0	스키마 미사용
사전only	CLAUS	절	0	스키마 미사용
사전only	CLB	색보정	0	스키마 미사용
사전only	CLCLN	정산	0	스키마 미사용
사전only	CLIP	클립	0	스키마 미사용
사전only	CLLC	콜렉션	0	스키마 미사용
사전only	CLLS	셀룰로오스	0	스키마 미사용
사전only	CLM	청구	0	스키마 미사용
사전only	CLN	청소	0	스키마 미사용
사전only	CLNO	순번호	0	스키마 미사용
사전only	CLNT	클라이언트	0	스키마 미사용
사전only	CLOR	색채	0	스키마 미사용
사전only	CLPW	폐쇄망	0	스키마 미사용
사전only	CLS	종목	0	스키마 미사용
사전only	CLSBIZ	폐업	0	스키마 미사용
사전only	CLSG	폐쇄	0	스키마 미사용
사전only	CLTPTY	문화재	0	스키마 미사용
사전only	CLV	적합성수준	0	스키마 미사용
사전only	CMAR	공용면적	0	스키마 미사용
사전only	CMCN	준공	0	스키마 미사용
사전only	CMD	커맨드	0	스키마 미사용
