token	freq	sample_cols
BM	14	tb_zzfnctclsf.bm_cd; tb_zzfnctclsf.bm_nm; tb_zzfnctclsf.up_bm_id
SPRT	13	object_taget_data.sprt_reg_no; tb_crntfctnrecord.sprt_reg_no; tb_crrecord.sprt_reg_no
PLC	13	object_taget_data.phtg_plc; tb_adarchivalobj.prsr_plc; tb_crfolder.prsr_plc_cd
ARNGMT	13	object_taget_data.arngmt_desc; tb_dftkovfolderlist.arngmt_yn; tb_mgfolder.arngmt_yn
IPADR	13	tb_batchworkhist.link_srvr_ipadr; tb_batchworkqueue.link_srvr_ipadr; tb_batchworkqueuepre.link_srvr_ipadr
APRTN	13	tb_crfolder.prsr_pd_aprtn_rsn; tb_dfdscdhist.prsr_pd_r_aprtn_ymd; tb_dfrevlhist.prsr_pd_r_aprtn_ymd
ONE	13	tb_crspcllist.one_spcl_list; tb_gvrnprdl.dst_rsn_one; tb_minutes.cn_one
THRE	13	tb_crspcllist.thre_spcl_list; tb_gvrnprdl.dst_rsn_thre; tb_minutes.cn_thre
MBRC	13	tb_dfdscdevl.dlbr_mbrc_id; tb_dfdscdevl.dlbr_mbrc_evl_se_cd; tb_dfdscdevl.dlbr_mbrc_evl_dtl_cd
MF	13	tb_dfdscdopnn.mf_stts_idnty_yn; tb_mgfolder.mf_phtg_stts_cd; tb_rdfolder.mf_phtg_stts_cd
DSGN	13	tb_dfdscdopnn.group_dsgn_yn; tb_rcacptnfolderlist.hold_trdv_dsgn_yn; tb_rddscdphbtappoint.dscd_phbt_dsgn_pic_dept_nm
RM	13	tb_dfdscdopnn.ntn_rm_cmit_evl_opnn_cd; tb_dfdscdopnn.ntn_rm_cmit_rsrv_pd_cd; tb_dfdscdopnn.ntn_rm_cmit_reap_prsr_pd
DMG	13	tb_mgfolder.dmg_yn; tb_mgfolder.dmg_cn; tb_mgfolder.dmg_prcs_mthd_cd
TMPR	13	tb_rsrvdoc.tmpr_se_no; tb_rsrvdoc.tmpr_frst_se; tb_rsrvdoc.tmpr_snd_se
API	13	tb_stconfig.link_api_srvr_ip; tb_stconfig.link_api_srvr_potno; tb_stconfig.link_api_cntn_user_id
MMT	12	object_taget_data.rls_mmt; tb_crrecord.rls_mmt; tb_mgfolder.rls_mmt
EXCSS	12	object_taget_data.excss_yn; tb_dfexcursus.excss_seq; tb_dfexcursus.excss_stts
ADAF	12	tb_adarchival_dst.adaf_id; tb_adarchival_dst.adaf_dst_sn; tb_adarchival_dst.adaf_dst_rsn
NOW	12	tb_adarchivalobj.now_hold_ecnt; tb_dfdscdopnn.now_prsr_pd_cd; tb_dfdscdopnn.now_rsrv_pd_cd
HGHRK	12	tb_crntfctnfile.hghrk_rctr_yn; tb_stdept.hghrk_ognz_cd; tb_storg.hghrk_inst_cd
COLM	12	tb_mgbksh.bksh_colm_cnt; tb_mgbkshdposdtl.bksh_colm_no; tb_mgfolder.bksh_colm_cnt
RDR	12	tb_rdotherprslreq.rdr_id; tb_rdotherprslreq.rdr_nm; tb_rdotherprslreq.rdr_dept_id
TAG	12	tb_rftabpub.tag_id; tb_rftabpub.tag_issu_trdv_cd; tb_rftabpub.tag_ispr_cd
UP	12	tb_stdept.up_ognz_cd; tb_stmenu.up_menu_id; tb_storg.up_inst_cd
RCVR	11	object_taget_data.rcvr; tb_crrecord.rcvr; tb_crrecordchghist.bfch_rcvr
RMV	11	object_taget_data.sret_rmv_pbrc_prsr_pstn; tb_rddscdphbtappoint.dscd_phbt_rmv_pic_dept_nm; tb_rddscdphbtappoint.dscd_phbt_rmv_pic_jbgd_nm
