영문약어	빈도	사전등록	사전단어명	한글후보_단일컬럼	샘플컬럼
LAST	21	Y	최종		object_taget_data.last_rls_clgn_year; object_taget_data.last_prsl_clgn_year
SRET	21	Y	비밀		object_taget_data.sret_clsf; object_taget_data.sret_prot_pd
NOELCT	21	Y	비전자		object_taget_data.noelct_reg_dt; tb_dforgacptn.noelct_pbrc_acptr_nm
BKNO	21	Y	권호수	권호수(14)	rcfolderlist.bkno; tb_crfolder.bkno
PHBT	21	Y	금지		tb_dfdscdphbt.dscd_phbt_type; tb_dfdscdphbt.dscd_phbt_day
USE	21	Y	사용		tb_rcmissingmemo.use_yn; tb_rffixreder.use_stts
ETC	20	Y	기타		object_taget_data.etc_ttle; tb_adarchivalobj.etc_form_expln
PHND	20	Y	인계자		tb_adarchivalobj.trnsf_phnd_nm; tb_crreport.phnd_nm
SCNN	19	Y	스캐닝		object_taget_data.scnn_cmptn_yn; object_taget_data.scnn_insp_se_cd
CPCT	19	Y	용량		tb_dftransfstoremst.strg_md_cpct; tb_dftransfstoreprttnlist.prttn_md_cpct
HASH	19	Y	해쉬		tb_rcmissingmemo.trsm_file_hash; tb_stattachfile.file_hash_vl
SECU	18	Y	보안		object_taget_data.secu_clsf_cd; object_taget_data.secu_clsf_rsn
SCPE	18	Y	범위		object_taget_data.prsl_scpe; object_taget_data.prsl_scpe_mng_cmptn_yn
VER	18	Y	버전	버전(8)	object_taget_data.mdfcn_ver_no; rms_history.rmst_ver
DFLP	18	Y	문서보존포맷		object_taget_data.dflp_cnvr_stts; tb_mgfolder.dflp_cnvr_stts
PLAN	18	Y	계획		object_taget_data.prtn_plan; tb_mgbkshdpos.plan_ymd
DATA	18	Y	자료		tb_crntfctnrcptresult.trsm_file_data_se; tb_dftransfprcsrcptresult.trsm_file_data_se
CYCL	18	Y	차수		tb_gvrnprdl.pblc_cycl; tb_mgfolderkwrd.indx_cycl
RULE	18	Y	규칙		tb_mgfolder.stk_mng_no_grnt_rule; tb_rdfolder.stk_mng_no_grnt_rule
SHPGOT	18	Y	반출		tb_mgfolder.shpgot_yn; tb_rdfolder.shpgot_yn
PGNO	17	Y	쪽수		object_taget_data.ritm_pgno; tb_crattachfile.atch_file_pgno
GRD	17	Y	등급		object_taget_data.rls_grd; tb_adarchivalobj.rls_grd
PHTG	17	Y	촬영		object_taget_data.phtg_ymd; object_taget_data.phtg_plc
REL	17	Y	관계		tb_adarchivalobj.adaf_rel_no; tb_rdattachfile.rel_file_key
MTHD	17	Y	방법		tb_crfolder.prsr_mthd_alct_cd; tb_dfdscdopnn.dscd_mthd_cd
TRSM	17	Y	전송		tb_crntfctnrcptresult.trsm_file_data_se; tb_crntfctnrcptresult.trsm_se
REVL	17	Y	재평가		tb_dfrevlevl.revl_sn; tb_dfrevlhist.revl_sn
VL	17	Y	값		tb_dftransferrorprcshist.afch_vl; tb_dftransferrorprcshist.bfch_vl
CHNRG	16	Y	변경자		tb_crfolderchghist.chnrg_nm; tb_crrecordchghist.chnrg_nm
BFR	16	Y	이전		tb_crreport.bfr_stts_se_cd; tb_dfdscdhist.reap_bfr_prsr_pd
BOX	16	Y	상자		tb_mgbksh.mxmm_acpt_prsr_box_cnt; tb_mgbksh.hold_prsr_box_cnt
SMMR	15	Y	요약		object_taget_data.adr_cn_smmr; object_taget_data.ritm_cn_smmr
ENFC	15	Y	시행		object_taget_data.enfc_ymd; object_taget_data.enfc_doc_no
TWO	15	Y	2		object_taget_data.spcl_pbrc_info_two; tb_crspcllist.two_spcl_list
ECNT	15	Y	개수		tb_adarchivalobj.frst_hold_ecnt; tb_adarchivalobj.now_hold_ecnt
ELCT	15	Y	전자		tb_crfolder.elct_file_ecnt; tb_dfdscdopnn.elct_file_del_pic_id
TCNT	15	Y	총개수	총수(1)	tb_dfacptnplan.fls_tcnt; tb_dfacptnplan.ritm_tcnt
EXST	15	Y	존재		tb_mgattachfile.virs_exst_yn; tb_rdattachfile.virs_exst_yn
INFC	15	Y	감염		tb_rdattachfile.virs_infc_cn; tb_storgdfile.virs_infc_cn
AUTHRT	15	Y	권한		tb_stgrantgrp.authrt_group_cd; tb_stgrantgrp.authrt_group_nm
PDC	14	Y	부분공개		object_taget_data.pdc_rsn; tb_adarchivalobj.pdc_rsn
NEW	14	Y	신규		object_taget_data.new_pbrc_se_cd; tb_crfolder.new_pbrc_se_cd
POTNO	14	Y	포트번호		tb_batchworkhist.link_srvr_potno; tb_batchworkqueue.link_srvr_potno
UNTK	14	Y	단위과제		tb_crfoldertakov.hndv_untk_card_id; tb_crfoldertakov.hndv_untk_card_nm
RSRV	14	Y	보류		tb_dfdscdhist.rsrv_dtl_cd; tb_dfdscdopnn.now_rsrv_pd_cd
PRTTN	14	Y	분할		tb_dftransfstorefld.prttn_md_seq; tb_dftransfstorercd.prttn_md_seq
LGN	14	Y	로그인		tb_rcmissingmemo.lgn_id; tb_rddscdphbtappoint.dscd_phbt_dsgn_lgn_id
SRCH	14	Y	검색		tb_rdfolder.rls_srch_list_pvsn_yn; tb_rdsrchprslrankng.srch_ymd
CRYN	14	Y	반입		tb_rftemptoti.cryn_yn; tb_rftemptoti.cryn_ymd
BM	14	Y	기능분류		tb_zzfnctclsf.bm_cd; tb_zzfnctclsf.bm_nm
SPRT	13	Y	지원		object_taget_data.sprt_reg_no; tb_crntfctnrecord.sprt_reg_no
