단어명	영문약어	영문명	형식단어	도메인	표준여부	설명
과태료	FFNLG	Fine For Negligence	Y	금액	Y	過怠料. 공법에서, 의무 이행을 태만히 한 사람에게 벌로 물게 하는 돈
관계	REL	Relation	N		Y	關係. 둘 이상의 사람, 사물, 현상 따위가 서로 관련을 맺거나 관련이 있음. 또는 그런 
관계기관	CNOR	CONCERNED ORGANS	N		Y	關係機關
 [법률정의] (부랑인및노숙인보호시설설치?운영규칙) 경찰관서 또는 보호기관이 아닌
관계자	PRCP	PARTICIPANT	N		Y	關係者
 어떤 일에 관련이 있는 사람.
관리	MNG	Management	N		Y	管理. 어떤 일의 사무를 맡아 처리하거나 시설이나 물건의 유지, 개량 따위의 일을 맡아 함
관리자	MNGR	Manager	N		Y	管理者. 소유자로부터 위탁을 받아 시설을 관리하는 자, 사법상(私法上) 타인의 재산을 관리
관서	GVMNFC	Government Office	N		Y	官署. 관청과 그 부속 기관을 통틀어 이르는 말
관심	ITRST	Interest	N		Y	關心. 어떤 것에 마음이 끌려 주의를 기울임. 또는 그런 마음이나 주의
관인	AOS	AN OFFICIAL SEAL	N		N	官印
정부 기관에서 발행하는, 인증(認證)이 필요한 문서 따위에 찍는 도장. 청인(廳印)과
관측	OBSRVN	Observation	N		Y	觀測. 육안이나 기계로 자연 현상 특히 천체나 기상의 상태, 추이, 변화 따위를 관찰하여 
관측소	OBSVTR	Observatory	N		Y	觀測所. 적의 동태를 살피기 위하여 여러 가지 관측 장비를 설치한 곳
관할	CMPTNC	Competence	N		Y	管轄. 일정한 권한을 가지고 통제하거나 지배함. 또는 그런 지배가 미치는 범위
광디스크	OPDS	OPTICAL DISC	N		N	레이저 광을 이용하여 문서, 음성, 화상정보 등을 기록·재생하는 원반 모양의 기록매체의 총
광매체	OPMD	OPTICAL MEDIA	N		N	광학 기록방식을 사용하여 만들어진 매체.  예) 광매체수록일자
광매체서고	OMST	OPTICAL MEDIA STACK	N		N	CD, DVD 등 광매체를 보존하는 서고
교부	DTBN	Distribution	N		Y	交付/交附. 내어 줌, 물건을 인도하는 일
교육	EDU	Education	N		Y	敎育. 지식과 기술 따위를 가르치며 인격을 길러 줌
교육과정	CRCLM	Curriculum	N		Y	敎育課程. 교육 내용과 관련하여, 교과의 배열과 조직을 체계화한 전체적인 계획
교육기관	EDNST	Education Institution	N		Y	敎育機關. 교육에 관한 일을 맡아보는 곳. 좁게는 학교를 이르며, 넓게는 교육 행정 기관도
교점	NODE	Node	N		Y	交點. 서로 만나는 점. 데이터 통신망에서, 데이터를 전송하는 통로에 접속되는 하나 이상의
교체	EXCH	EXCHANGE	N		Y	交替
 사람이나 사물을 다른 사람이나 사물로 대신하여 바꿈.
구	OLD	OLD	N		Y	舊
 오래된, 지나간 때
구매	PRCHS	Purchase	N		Y	購買. 물건 따위를 사들 임
구문서	EPOS	AN EX-PROPRIETOR'S BILL OF SALE	N		N	舊文書
토지나 가옥 따위를 사고팔 때, 그 매도
구분	SE	Section	N		Y	區分. 일정한 기준에 따라 전체를 몇 개로 갈라 나눔
구성	CMPS	COMPOSITION	N		Y	構成
 몇 가지 부분이나 요소들을 모아서 일정한 전체를 짜 이룸. 또는 그 이룬 결과.
구술	ORST	ORAL STATEMENT	N		N	口述 입으로 말함
구역	ZONE	Zone	N		Y	區域. 갈라놓은 지역
구우편번호	OZIP	Old Zip Code	Y	구우편번호	Y	舊郵便番號. 우편물을 쉽게 분류하기 위하여 과거 지번주소에 매긴 우편번호
구조물	STRTS	Structures	N		Y	構造物. 일정한 설계에 따라 여러 가지 재료를 얽어서 만든 물건. 건물, 다리, 축대, 터
구현	IMPLC	Implement of software codes	N		N	具現/具顯 어떤 내용이 구체적인 사실로 나타나게 함
국	BURA	BUREAU	N		N	[명사] 업무 조직에서, 부서의 하나. 일반적으로 과(課)나 부(部)의 위이다.
국	TELOFC	Telephone Office	N		Y	局. 가입 구역 내 가입 전화의 교환 사무를 취급하는 기관
