x	y	text
976	59	원본매체순서
1017	59	통계건수21
1032	59	통계건수22
484	59	생산년도시작
780	60	처리과보존기간코드
222	60	오류내역
247	60	등록건수
315	60	용량
404	60	기술비고
469	60	공개범위등급설명
108	60	최초등록자ID
199	60	처리기관코드 (FK)
273	60	처리기관코드
349	60	최초등록일시
367	60	원본의존재와위치_계열
386	60	COPY_EXIST_POSITION
501	60	공개제한유형
520	60	공개제한유형
642	61	단위과제개요
656	61	기간기록
714	61	최초등록일시
484	61	생산년도끝
673	61	주요열람용도구분
939	61	통계건수22
953	61	통계건수23
976	61	원본매체명
1017	61	통계건수22
1032	61	통계건수23
692	61	총독부기록분류코드
780	61	처리과책정사유
222	61	헤더파일명
404	61	최초등록자ID
469	61	작성자ID
247	61	쪽수
315	61	수집구분
108	61	최종수정일시
199	62	행번호
273	62	구기록물생산기관명
553	62	공문서순번
858	62	SKL_REG_YEAR
162	62	접수년도
349	62	최종수정자ID
367	62	사본의존재와위치_계열
386	62	REL_ARCHIVE
501	62	공개제한사유
520	62	공개제한사유
642	62	업무프로세스
656	62	단위과제개요
714	62	최종수정자ID
673	62	특수목록위치구분
939	62	통계건수23
953	62	통계건수24
976	62	원본매체그룹순서
1017	62	통계건수23
1032	62	통계건수24
484	62	검토서명
625	62	기관명
692	62	보유국가코드
780	62	처리과검토의견
997	62	작업일자
222	62	최초등록일시
247	62	전자파일갯수
315	62	시스템구분__22732
404	62	최초등록일시
469	62	작성일자
449	63	키워드등록일련번호
108	63	최종수정자ID
273	63	등록구분
858	63	기능분류코드
162	63	생산현황서식구분
349	63	최종수정일시
367	63	관련기록_계열
386	63	PUBLISH_INFO_OLD
501	63	공개여부확정
520	63	공개여부확정
743	63	접수ID (FK)
642	63	법령근거
656	63	업무프로세스
714	63	최종수정일시
484	63	주요내용
673	63	제1특수목록
939	63	통계건수24
953	63	통계건수25
976	63	원본매체그룹
1017	63	통계건수24
1032	63	통계건수25
625	63	최상위기관코드
692	63	보존소코드
199	64	생산부서명
553	64	공문서번호
780	64	기록관보존기간코드
222	64	최초등록자ID
404	64	최종수정자ID
469	64	비고
997	64	기관구분별통계분류코드
247	64	인수인계_구분
315	64	처리과코드__22734
273	64	생산등록일자
162	64	처리기관코드
349	64	년도미확정구분(SV130)
367	64	출판정보_계열
386	64	REMARK
501	64	주기사항
520	64	주기사항
642	64	보존기간처리상태
656	64	법령근거
743	64	접수순번
673	64	제2특수목록
939	64	통계건수25
953	64	통계건수26
