size	x	y	text
1.3	497	398	OD클래스(SV)
1.3	511	398	OD수록내역(SV)
1.3	538	398	작업스케줄링기본목록(SV)
1.3	702	398	복원처리서복원처리자내역
1.3	453	399	매체수록의견(SV)
1.3	647	399	복원처리서(SV)
1.3	684	399	복원전세부상태(SV)
1.3	181	400	인수/인계(RF)
1.3	201	400	태그발행(RF)
1.3	296	400	서고배치내역(SV)
1.3	401	400	평가분류(SV)
1.3	738	400	체크아카이브정보
1.3	266	402	장기보존매체서고배치내역이력(SV)
1.3	241	402	M/F 색인대장(보존) - 서고배치내역(SV)
1.3	777	402	기록물 점검 오류정보
1.3	758	402	체크아카이빙스케줄
1.3	611	403	보존처리내역(SV)
1.3	137	408	용어테이블(TH)
1.3	665	408	복원처리내역(SV)
1.3	113	409	시소러스테이블(TH)
1.3	387	409	평가분류이력(SV)
1.3	683	416	복원처리세부내역(SV)
1.3	558	418	작업스케줄링세부목록(SV)
1.3	448	418	매체수록조정(SV)
1.3	707	418	복원세부내역(SV)
1.3	300	419	서가셀목록(SV)
1.3	284	419	서고배치내역이력(SV)
1.3	533	420	작업스케줄링(SV)
1.3	269	420	보존매체(SV)
1.3	181	422	태그발행이력(RF)
1.3	960	423	전거DB 관계영역
1.3	916	426	전거DB 설치근거
1.3	465	427	OD수록정보 TABLE
1.3	609	427	수작업탈산처리내역(SV)
1.3	402	428	관련기록내역(SV)
1.3	899	429	전거DB 대등표목
1.3	977	430	전거DB 수행업무
1.3	482	431	OD수록세부정보TABLE
1.3	243	431	이관매체 서고배치내역
1.3	880	432	전거DB 수정내역
1.3	510	435	이송복제M/F목록(SV)
1.3	860	435	전거DB 기관/단체기능어
1.3	330	436	M/F서고배치내역이력(SV)
1.3	993	437	전거DB 인물직업
1.3	560	437	작업스케줄기본목록연결내역
1.3	758	438	체크아카이브세부정보
1.3	648	439	복원의뢰내역(SV)
1.3	845	439	전거DB 참고정보원
1.3	198	440	반출입이력(RF)
1.3	940	441	전거DB 기본정보
1.3	1008	443	전거DB 대등기관
1.3	690	444	복원처리내역(미사용)(SV)
1.3	674	444	복원문서내역
1.3	181	444	태그프린터(RF)
1.3	776	446	상태정수점검 기록물 복구결과
1.3	1023	446	전거DB 인물경력
1.3	244	447	서고기본정보
1.3	113	450	관계정의테이블(TH)
1.3	708	451	복제처리세부내역(SV)
1.3	134	452	버전관리테이블(TH)
1.3	832	452	전거DB 비채택어
1.3	555	456	작업스케줄링 장기보존매체(SV)
1.3	497	457	DVD정보(SV)
1.3	448	457	매체수록_DVD작업상세
1.3	469	458	매체수록_DVD작업요청내역
1.3	289	464	보존매체서고배치내역(SV)
1.3	306	464	이전매체서고배치내역(SV)
1.3	247	465	OD복제 서고배치내역이력(SV)
1.3	269	465	이관매체서고배치내역이력(SV)
1.3	647	465	복원의뢰서(SV)
1.3	334	466	M/F서고배치내역(SV)
1.3	847	466	전거DB 기능어/키워드/신조어/기록물연계
1.3	181	466	고정형리더기(RF)
1.3	202	466	RFID태그발행
1.3	1031	467	전거DB 기관장
1.3	1011	469	전거DB 사건기술영역
1.3	874	469	전거DB 하위조직 변천
1.3	400	470	M/F촬영계획서(SV)
1.3	995	472	전거DB 통제영역 유지주기
1.3	896	473	전거DB 인물국적
1.3	420	473	M/F촬영세부내역(SV)
1.3	915	474	전거DB 관련자료영역
1.3	982	475	전거DB 지리상위치
1.3	964	475	전거DB 인물종교
1.3	387	477	복제M/F(SV)
1.3	449	477	스캐닝파일이력(SV)
1.3	113	478	신청용어테이블(TH)
1.3	136	479	용어이력로그테이블(TH)
1.3	512	479	스캐닝파일(SV)
1.3	487	481	DVD건수록내역(SV)
1.3	263	483	해외매체 서고배치내역
1.3	279	483	해외매체 서고배치이력(SV)
1.3	468	483	DVD철수록내역(SV)
1.3	247	483	OD복제 서고배치내역
1.3	314	483	복제M/F서고배치내역(SV)
1.3	418	495	복제M/F 점검리스트
1.3	196	498	무단반출제외요청기록물목록(RF)
1.3	138	498	한자사전(TH)
1.3	139	507	한자사전
1.3	1028	512	열람신청대장(US)
1.3	198	512	태그입출입요청내역(RF)
1.3	181	514	이동이력(RF)
1.3	703	515	변환요청 결과
