size	x	y	font	text
1.2	244	258	Gulim	검수종료일
1.2	265	258	Gulim	문서보존포맷미변환건수
1.2	293	259	Gulim	차바이러스결과
1.2	244	259	Gulim	검수확정일
1.2	265	259	Gulim	비전자기록물실물오류여부
1.2	224	260	Gulim	이관년도
1.2	293	260	Gulim	차바이러스시작일
1.2	244	261	Gulim	검수담당자배정해제일
1.2	265	261	Gulim	기계검수오류여부
1.2	224	261	Gulim	이관일련번호
1.2	293	261	Gulim	차바이러스결과
1.2	244	262	Gulim	오류기록물인수사유
1.2	265	262	Gulim	서비스제목
1.2	224	262	Gulim	이관철
1.2	293	262	Gulim	차바이러스시작일
1.2	244	263	Gulim	강제인수여부
1.2	265	263	Gulim	서비스여부
1.2	292	264	Gulim	바이러스치료결과
1.2	244	264	Gulim	바이러스검출기록물처리코드
1.2	265	264	Gulim	최종서비스업데이트일시
1.2	292	265	Gulim	바이러스치료시작일
1.2	244	266	Gulim	보존매체수록여부
1.2	265	266	Gulim	최종서비스업데이트사용자
1.2	292	266	Gulim	파일구분
1.2	244	267	Gulim	철
1.2	246	267	Gulim	차검수확인여부
1.2	292	267	Gulim	추출파일여부
1.2	616	267	Gulim	기본목록
1.2	244	268	Gulim	철
1.2	246	268	Gulim	차검수확인일자
1.2	292	269	Gulim	추출
1.2	616	269	Gulim	세부목록
1.2	244	269	Gulim	철
1.2	246	269	Gulim	차검수확인자
1.2	294	270	Gulim	데이터규격검사결과
1.2	513	270	Gulim	스캐닝완료여부
1.2	244	271	Gulim	기계검수오류여부
1.2	294	271	Gulim	데이터규격검사시작일
1.2	244	272	Gulim	철인수상태코드
1.2	292	273	Gulim	파일사이즈
1.2	244	273	Gulim	서비스철제목
1.2	616	273	Gulim	성명
1.2	293	274	Gulim	차바이러스내용
1.2	224	274	Gulim	자료관코드
1.2	513	274	Gulim	보존기간만료년도
1.2	244	274	Gulim	서비스여부
1.2	293	275	Gulim	차바이러스내용
1.2	513	276	Gulim	공개재분류년도
1.2	244	276	Gulim	최종서비스업데이트일시
1.2	292	276	Gulim	바이러스치료내용
1.2	244	277	Gulim	최종서비스업데이트사용자
1.2	180	277	Gulim	이관검수샘플링기본목록
1.2	294	278	Gulim	데이터규격검사내용
